user,building,dry_cleaning,highway,ice_cream,laundry,total_objects
Andrew Matheny_import,1369613,6,2710.3651950998396,0,26,1398156
TheDude05_import,602180,0,328.11450973523216,0,0,603895
DaveHansenTiger,0,0,250137.56216981108,0,0,456966
kre3d,22647,0,11242.656930338451,4,2,447861
patisilva_atxbuildings,266865,0,0.056829911003768004,0,0,292801
balrog-kun,0,0,54862.080814376284,0,0,176663
ccjjmartin_atxbuildings,111360,0,0.0,0,0,128760
Andrew Matheny,42459,0,10816.328361347641,5,4,125281
afdreher,3009,4,12718.103221375146,0,0,122330
25or6to4,752,0,33219.40049904197,0,0,96186
ccjjmartin__atxbuildings,83931,0,0.0,0,0,95996
scottyc,2776,2,5449.053540947067,1,0,63303
wilsaj_atxbuildings,35935,0,68.85552622045745,0,0,50299
ninja_import,49884,0,0.0,0,0,49885
skquinn,11411,13,5719.458399436501,6,8,49786
kevinajames,29869,17,4978.63258527219,4,10,48078
42429,10,0,495.0526892738092,0,0,45550
zephyr,49,0,9.683169801506804,0,0,44137
RoadGeek_MD99,2001,3,4805.611382588739,1,2,43943
Stephen214,3323,1,2699.8372303121323,0,0,41716
UncleHank,2560,4,7836.648202737007,0,0,38277
clay_c,2,0,12056.42312968413,0,0,37095
jseppi_atxbuildings,28875,0,0.0,0,0,36697
claysmalley,742,0,4503.172855080331,0,0,36676
homeslice60148,1777,0,9741.114222899883,0,0,33481
1T-money,479,0,9978.30238082777,0,0,32368
Arthtoach_Import,29649,0,11.943893211248756,0,0,30136
cobaltcigs,31,0,39187.948799968166,0,0,29990
cammace,19309,4,279.0111030954953,1,11,28391
Russell722,4564,0,3458.4192415030293,2,1,27826
Bellhalla,4128,0,963.1980722529493,0,2,26686
25or6to4_import,23591,0,0.856705801759393,0,0,23595
GarrettPennell_import,22173,0,5.055828408694606,0,0,22221
Everjams,6540,0,1115.5355048553274,2,1,21741
cds7189,474,0,38.27914684528746,0,0,21312
Hendrikklaas,953,0,2152.8184320591286,0,0,21230
TravGW,4912,0,6601.3860657734485,0,0,21069
TheDude05,12981,1,243.38827568397326,1,1,20847
iandees,65,0,23.314070248798348,0,0,19645
Russell720,2964,1,1755.9399925275748,0,0,19421
aboges26,3958,2,1657.925203651833,0,1,19199
Memoire,3569,3,1233.5160909669119,2,5,18823
antiviro,1139,0,430.9662466879873,1,0,18803
stangoodman,235,0,1862.1659659741263,0,0,18507
ELadner,1452,0,5539.814185120093,0,0,18370
lyzidiamond_atxbuildings,16253,0,14.264471195439915,0,0,18042
kkt_atxbuildings,15007,0,0.0,0,0,16714
torapa,6716,0,2830.8557832113243,0,0,16471
m_with_z,5528,0,208.51151546645562,0,0,16291
TheDutchMan13,22,0,8050.951478772902,0,0,15169
houston_mapper1_IMPORT,14176,0,9.364637334734038,0,0,14245
freebeer,13284,0,22.324524260499494,0,0,14127
Mark@MJS,1101,0,4.055571983346303,0,0,14073
gregcrago,51,1,2449.218616531296,0,0,14054
maxerickson,733,0,1492.0940896662332,0,0,13825
Iowa Kid,1109,11,2144.5672830973417,14,1,12996
Timothy Smith,2390,0,2262.9991253303037,40,0,12686
albino0rca,3871,1,1251.4151988770927,0,1,12516
njtbusfan,18,0,2332.9997230456665,0,0,12072
brianboru,3007,0,768.4553708416253,0,0,11565
SathyaPendyala,219,0,2554.2083858611,0,0,11383
Geogast,44,0,125.05659497757487,0,0,11195
chachafish,10823,0,61.25224769507502,0,0,10938
Paul Johnson,38,0,4377.551445461637,0,0,10719
Eric Liga,7537,0,76.79402174451943,0,0,10227
jpmartin1977,1702,0,1513.2104829195644,0,0,10108
keighley81,9548,0,6.001974758944952,0,0,9650
richlv,1030,13,624.8730183248381,0,2,9378
southtexasmonkey33,1089,1,703.8369962457608,2,1,9362
xsintrik,1191,0,608.1743226444805,0,0,9343
dannykath,12,0,1134.4085813089682,0,0,9188
NE2,5,0,4560.0966997116475,0,0,9155
animebirder,1018,0,1695.743160469201,1,2,8983
Dami_Tn,9,0,217.13642568967816,0,0,8805
bohnenstange,788,0,1246.635404101405,1,0,8498
houston_mapper1,7484,0,250.22493442055824,0,0,8493
GeoEvan,2195,0,505.01451951336526,1,4,8191
clarceneaux,159,0,783.8302630022432,1,4,8121
Garrett Pennell,1418,1,899.2464456751272,4,5,8086
MikeN,0,0,1470.8258148566301,0,0,7927
Luis36995,19,0,1375.033883535024,0,0,7440
UltimateRiff,558,0,427.10779871951803,0,1,7385
RichRico,110,0,1114.2220470663858,0,0,7269
nm7s9,5600,0,187.60641630785608,0,0,6649
johnclary_axtbuildings,5472,0,0.0,0,0,6469
Cameron Ford,5073,0,406.67197741872445,0,0,6455
choess,156,0,279.3756712395312,0,0,6450
happy5214,1743,1,298.8164361045972,1,0,6408
JMG3,2319,0,269.78031493859703,0,0,6289
micha_k,90,0,123.8689594688166,0,0,6253
karlcr9911,312,0,612.4144499182029,3,0,6161
bogdanp_telenav,6,0,987.4889111829564,0,0,6150
Rallysta74,1547,0,57.94163015120395,0,0,6112
Michelle Liang,1,0,2586.837974295971,0,0,6064
calfarome,8,0,843.4089810473534,0,0,6022
davidearl,0,0,0.0,0,0,5964
Omnific,5492,1,43.08677015404241,0,1,5919
Basstoelpel,0,0,707.3907135910805,0,0,5862
FTA,349,3,404.57198254655117,2,0,5564
Sundance,178,0,656.355890607051,0,0,5428
technogeek,2543,2,142.913021807651,1,2,5403
bathis,3,0,720.53273000513,0,0,5275
lorandr_telenav,0,0,711.9667036585374,0,0,5212
talukdm,8,0,871.9687035154714,0,0,5211
Rub21,2,0,827.9442248080265,0,0,4989
ganarend,0,0,791.9720070800672,0,0,4964
shawat94,0,0,653.1918442303981,0,0,4819
woodpeck_repair,101,0,1451.0599022541887,0,0,4787
mihaii_telenav,5,0,458.735597895251,0,0,4700
vogelfreier,4050,0,44.743989197766616,0,0,4692
karitotp,19,0,761.0261250478486,0,0,4685
StackKorora,1525,0,379.02287700916435,0,0,4633
teodorab_telenav,1,0,527.4888351717892,0,0,4505
Richard,0,0,5603.626176693891,0,0,4415
bahnpirat,0,0,298.9641564208294,0,0,4336
varmint,1413,0,550.202282288143,0,0,4295
clairehhlin,0,0,6.462329151884782,0,0,4254
Cuno4,1067,0,229.4340367010955,0,0,4186
hofoen,60,0,1063.2609162568904,0,0,4133
ioanam_telenav,1,0,441.2889422658333,0,0,4090
bdiscoe,1270,0,793.8990224180332,0,0,4088
KanaLee,0,0,605.8699737875131,0,0,4062
ridixcr,119,0,639.0132614067907,0,0,4061
ediyes,2,0,770.2234398096303,0,0,4061
catalinad_telenav,0,0,485.05345889963263,0,0,3820
payelgh,0,0,471.25997079394193,0,0,3789
nishisi,3,0,360.4470749713523,0,0,3748
Ian Hoyle,1389,3,163.1308436034706,1,0,3718
mohapd,1,0,556.6322564433092,0,0,3705
pyram,547,0,566.9871966815566,0,0,3671
Avelsajo,1951,0,81.94445180889603,0,1,3664
Skybunny,2178,2,150.8572402652735,1,3,3659
TexasNHD,0,0,14.667813965016501,0,0,3638
The Jacobin,1400,0,124.51420106756196,3,0,3636
Hockeymaskbob,1976,0,101.8192875375327,0,0,3616
mapman44,808,0,231.6930316344751,0,0,3607
Longhorn256,1486,0,103.37939349466635,0,0,3593
amillar,851,0,66.65157936500162,0,0,3583
greggerm,16,0,2238.5942667467016,0,0,3555
brublanc,3194,4,5.5364852564531315,0,12,3548
TheDJTC,691,0,125.66791427064013,0,0,3503
Losifer026,188,0,178.31225364810768,4,0,3500
hoream_telenav,1,0,431.17646318482696,0,0,3479
marthaleena,17,0,1445.0316561682757,0,0,3470
samely,29,0,620.4717599150249,0,0,3456
xedout,150,0,605.3059229994492,0,1,3428
MatthewAndersonUS80,22,0,1213.7211847556287,0,0,3387
Super-Map,3322,0,2.165357740157715,0,0,3350
karl-marx,107,0,1527.122662713651,0,0,3328
Latze,2504,0,78.27195697471005,0,0,3321
nubs,5,0,97.38903292903,0,0,3311
chdr,2,0,85.11691715932226,0,0,3308
Lambertus,141,0,399.86260842439094,0,0,3298
ingalls,22,0,420.12777624570214,0,0,3275
GoWestTravel,1753,0,96.41800156641095,0,0,3179
moosejaw,949,0,146.6213944513923,1,1,3139
karnatim,0,0,361.51315270316684,0,0,3115
fmmute,2712,0,0.38233463093771103,0,0,3079
Юкатан,363,0,144.57370447134818,0,1,3069
shadty,0,0,288.720745033698,0,0,3042
Bremag,221,0,222.31245342928244,0,0,2989
corybeyer,2494,0,24.44224012611187,0,0,2975
Spanholz,113,0,1001.0883040579882,0,0,2962
rickmastfan67,0,0,288.14988163145034,0,0,2962
elkueb,1049,0,798.4104084988302,0,0,2923
1Trevor,127,0,453.6525393447105,0,0,2875
user_5359,1216,0,201.27998419669535,0,0,2866
andrewpmk,46,0,257.1905498188086,0,0,2866
engelsjk,166,0,119.33983882307668,0,0,2827
maxugglan,0,0,252.0868379209218,0,0,2825
Vaderf,2022,0,25.900334660253684,0,0,2823
kermitch,262,1,91.44314046417055,0,1,2722
istvanv_telenav,0,0,425.4279587434436,0,0,2722
Glen,143,0,296.74034465623953,0,0,2674
jojoyal,1,0,249.7456706485758,0,0,2674
naaitha,0,0,396.4868246109201,0,0,2665
SoulMap,0,0,0.367647555985323,0,0,2653
PHerison,146,0,392.1296182722975,0,0,2618
KristenK,0,0,395.54040167534356,0,0,2613
dhaird,0,0,363.0883764746596,0,0,2599
georges_telenav,30,0,320.16925272914256,0,0,2587
soumybha,0,0,367.7246668282025,0,0,2574
tompkinsjs,322,0,261.22701911629775,0,0,2543
Jame Retief,328,0,114.26247256914833,0,0,2538
sushredd,1,0,322.8706167515313,0,0,2518
arkdatta,0,0,402.2255133993516,0,0,2513
beweta,141,0,463.5029825719296,0,0,2496
grouper,351,0,839.322517879184,0,0,2491
swimdb,1701,1,300.6064502479519,0,0,2484
alixhartmann,2,0,371.50563185391655,0,0,2483
HTownQ,433,0,60.16533929250053,0,0,2479
komrade_question,1973,0,31.657203431930384,0,0,2477
lemba,0,0,2.981601162727624,0,0,2466
TheSebik,387,0,118.14329376085726,0,0,2448
muziriana,11,0,1082.7901454535013,0,0,2436
funny_plants,215,0,89.69019019282973,0,0,2430
ksnghr,6,0,370.16915266289914,0,0,2422
datbrahm,0,0,270.53793731841296,0,0,2407
b-jazz-bot,767,0,1.235069393181435,0,2,2383
oanac2_telenav,0,0,246.25494910909404,0,0,2351
awinslow,2297,0,1.080129710909799,0,0,2332
THoffman,153,1,153.83781358253003,0,0,2329
obscuritarian,0,0,1103.6691488734787,0,0,2327
TreyElektron,308,0,141.38245153134193,0,0,2312
abel801,1,0,512.3229581427751,0,0,2305
elmachine,1083,0,586.6197762015207,0,0,2296
dkunce,2092,0,26.21720725718041,0,0,2291
bot-mode,0,0,1131.9974567995523,0,0,2275
JacobT13,658,0,59.25516091678366,0,0,2267
Damon Stich,624,0,106.4263422680232,1,0,2243
LeTopographeFou,278,1,161.57439441236718,0,1,2239
LinuxScribe,7,0,1170.0961672598614,0,0,2231
rimugu,160,0,277.96633625219835,0,0,2223
ionutr_telenav,0,0,277.81814619252873,0,0,2219
shushmit,2,0,317.5467863663724,0,0,2204
Angie_O,0,0,54.716760029836614,0,0,2202
rkkarnee,10,0,322.4845300161174,0,0,2194
peace2,127,0,47.294051454953056,0,1,2170
hungariantoast,738,0,93.4445379844448,0,0,2144
ChrisZontine,3,0,179.2208659044417,0,0,2137
hoosierhoops24,1,0,26.241251141682753,0,0,2122
Thea Clay,306,2,62.64736395872695,0,1,2121
andreis_telenav,3,0,226.3767529858205,0,0,2119
arming_telenav,0,0,290.285452851688,0,0,2096
sskalyan,1,0,225.19984745007812,0,0,2069
mrfa,3,0,207.6557002123466,0,0,2049
Vkkalegi,0,0,211.50980894523542,0,0,2046
kwametedros,1,0,302.0359667950064,0,0,2038
yurasi,39,0,545.2864744790659,0,0,2034
Cam4rd98,618,0,254.58398231030878,0,0,2016
TreesUnknown,739,0,131.04579618207134,0,0,2010
ToeBee,86,0,962.1855238035765,0,0,1997
changurl,0,0,192.26027172822302,0,0,1988
srividya_c,167,0,312.91660411027055,0,0,1960
soundred,4,0,344.2181055920361,0,0,1948
gabis_telenav,0,0,214.17251647912326,0,0,1934
rivermont,1199,0,335.74079598192355,0,0,1920
b-jazz,282,0,113.62618083793089,0,0,1919
eadamk,0,0,182.77438922843257,0,0,1912
sivapaid,4,0,320.54423837523063,0,0,1911
Tejajt,0,0,193.50152997487,0,0,1910
Alan Bragg,518,0,470.49128526682233,0,0,1907
Achantav,2,0,179.99393567885994,0,0,1900
bhavana naga,3,0,792.7949763208732,0,0,1898
Map King,48,0,323.92310916877534,0,0,1897
Ropino,229,0,490.6520695131947,0,0,1866
govvala,1,0,410.2418877468813,0,0,1859
melisramer,0,0,282.52249011173666,0,0,1848
Rat_catche,831,6,69.35985643182491,0,1,1832
rolandg,50,0,174.435434207789,0,0,1827
corb555,384,0,138.39221914404018,0,0,1803
Joshua Arnold,1789,0,1.220901714705878,0,0,1798
Mara,75,0,286.48975311386744,0,0,1783
anilredd,0,0,180.24223810526922,0,0,1767
grossing,0,0,615.811992719139,0,0,1766
Tom Layo,34,0,601.1602167603378,0,0,1756
woosleyt,56,0,141.23062460943538,0,0,1755
bhardwk,4,0,317.5645798231252,0,0,1754
kshtdh,7,0,345.30429853259193,0,0,1745
jumbanho,1,0,475.73479221751757,0,0,1743
SimonA,48,0,100.81853051218751,0,0,1733
jharpster-import,1718,0,0.576987674385771,0,0,1722
Natfoot,63,0,150.1247803555521,0,0,1696
Saikrishna,30,0,99.65721983347886,0,0,1671
ravsjith,2,0,153.4837377207032,0,0,1670
florinbadita_telenav,0,0,380.19590490727757,0,0,1669
tmadhuli,0,0,152.91658651413056,0,0,1654
TerraTexGeo,307,0,334.9466301309583,0,0,1652
penumbratom,167,0,68.6530672543346,0,0,1640
bfg9000d,172,0,89.03297642408612,0,0,1637
ekkakkas,0,0,167.71220459464362,0,0,1633
AgentBlue,94,2,120.51793578906167,0,3,1623
Gireeshn,0,0,184.93181582573138,0,0,1623
TaskarCenterAtUW,6,0,21.831484072937304,0,0,1597
anjbe,88,0,350.7192591750952,0,0,1582
SamatJain,405,0,90.0494797121681,0,1,1578
JRyanCFW,113,0,210.52439146113736,0,0,1570
sandchi,0,0,286.5565023497061,0,0,1569
swappa,0,0,150.24207206892714,0,0,1556
daggarw,3,0,272.96961085400346,0,0,1554
kedarnap,0,0,293.8120255324722,0,0,1553
piligab,6,0,423.9528839265491,0,0,1548
nstefan_telenav,1,0,172.13719600898594,0,0,1542
sivachak,4,0,204.4374484611297,0,0,1541
ammendir,1,0,345.2051642323418,0,0,1533
pringle,156,0,283.894424970953,0,0,1518
LarsBG,324,0,321.5755303170853,0,0,1517
Peter14,0,0,291.1336313094117,0,0,1513
riteshaw,0,0,173.83201534802103,0,0,1496
herbm123,280,0,133.7378733396787,0,0,1495
jacobbraeutigam,316,0,96.56736604846269,0,0,1494
Narendra ganesh,0,0,134.014283257608,0,0,1494
dvlpmnt,0,0,1186.4314305806927,0,0,1484
Arpremna,0,0,136.86984725502444,0,0,1479
abhap,0,0,140.88804238998802,0,0,1476
riysingh,9,0,206.47339187195666,0,0,1475
earkison08,934,0,39.900605030839614,0,0,1468
Jonathan Pa_atxbuildings,1125,0,0.0,0,0,1451
blacklocust,444,0,119.63879693446522,0,0,1449
ToffeHoff,0,0,186.24376826808532,0,0,1444
osm_mapper_76,348,0,111.4393858870375,0,0,1441
vvrddy,0,0,145.50380273666025,0,0,1433
ntanniru,0,0,299.2275190677281,0,0,1431
dufekin,3,0,450.76520772966455,0,0,1407
Mr_Brown,295,0,59.20415056258207,0,0,1404
xujiayi_1256,0,0,147.14848102385022,0,0,1404
kfremd,0,0,178.69094152902602,0,0,1402
paongquinho,677,3,11.086231368835795,1,2,1378
NoneOfYourBusiness,123,0,20.948003017829237,0,0,1377
harpreo,15,1,172.01491934546524,0,0,1372
kasals,0,0,182.5776757211025,0,0,1369
Wolfram Sobotta,0,0,1871.849180543273,0,0,1358
interdite,39,0,358.08982442728734,0,0,1351
akalohri,2,0,258.45858885352965,0,0,1349
geoproxus4,14,0,450.98178425492495,0,1,1344
nihaalr,1,0,247.94558221479937,0,0,1330
shkshar,2,0,256.7884567254652,0,0,1329
amarajz,0,0,180.44693786850718,0,0,1323
Cinthetyk,113,0,135.41088318573208,0,0,1318
unnsyeda,0,0,114.36230319622591,0,0,1314
kbzimmer,452,0,71.85175880977845,0,0,1309
saxvidit,0,0,268.09258420572354,0,0,1302
marianp_telenav,0,0,125.97053181869653,0,0,1297
ceyockey,218,0,162.31400861109753,0,0,1293
SimMoonXP,0,0,661.0016632574077,0,0,1291
Gabulor,75,0,98.3306735147808,0,1,1284
Chris Lawrence,40,0,264.6892384706187,0,0,1279
yadathot,0,0,293.4393256971439,0,0,1277
mjn,71,0,119.65018782336251,0,0,1274
Zartbitter,0,0,114.40897505617214,0,0,1274
jalajm,1,0,238.7969037779776,0,0,1273
sgmamz,0,0,166.71965106692988,0,0,1263
chhava,4,0,279.8074078038809,0,0,1256
kammann,889,0,135.75285802587885,0,0,1250
Guy Zohar,0,0,20.495462426070457,0,0,1249
nyuriks,3,0,0.0,0,0,1249
Ionysus,269,0,180.06407223291876,0,0,1247
debott,0,0,270.50422560408987,0,0,1243
Dr Kludge,138,0,42.92109997474057,0,0,1241
markscalf,0,0,248.74745412416604,0,0,1238
vsahith,0,0,289.2264083555325,0,0,1238
addatla,0,0,114.74121642676585,0,0,1234
dasnei,0,0,199.480571603368,0,0,1232
bondah,996,0,60.16884584941138,0,0,1229
Tom_Holland,38,0,73.87150979028313,0,0,1221
mahmedqg,2,0,184.6286178601945,0,0,1214
user_7984,2,0,1182.1599442160898,0,0,1207
bbmiller,3,0,419.0724574545545,0,0,1196
sinreeya,5,0,156.23265740741704,0,0,1196
sivaib,1,0,276.46224959990684,0,0,1192
Tylan,54,0,69.96003743285081,0,0,1185
gohimans,2,0,228.71726554125195,0,0,1181
apcroads,0,0,447.03738601785665,0,0,1176
SeKey,279,0,614.1050926108892,0,0,1169
Guilietta123,0,0,8.541071500879632,0,0,1167
pingsler,509,0,52.26807455909608,0,0,1163
t_woelk,596,0,45.98378358671559,0,0,1158
tebiggs,11,0,3.054842310866426,0,0,1156
revent,65,0,38.121041264095886,0,0,1153
Omnific_atxbuildings,867,0,0.041751498537709,0,0,1140
doktorpixel14,995,0,12.724972692309244,0,0,1140
pixelsandbacon,61,0,90.01377464194921,0,0,1131
navlay,1,0,217.58319872056393,0,0,1123
94745,11,0,26.108541124833476,0,0,1122
vladm_telenav,0,0,159.3453753502602,0,0,1121
baindran,0,0,118.31451290120702,0,0,1121
swarnimv,2,0,215.87379586806432,0,0,1117
JenLynn07,914,0,5.018859928844793,0,0,1117
andygol,32,0,117.77245351837001,0,0,1115
mueschel,864,0,42.96247322406376,0,0,1114
anurasi,1,0,112.23144362996352,0,0,1110
lyzidiamond_imports,1012,0,0.0,0,0,1107
rojganes,0,0,222.31957143420982,0,0,1104
bob_p,14,0,26.154312762525567,0,0,1102
uhhany1,2,0,231.6316541000701,0,0,1102
Edward,239,0,0.40630659549910203,0,0,1099
mwakram,2,0,202.36034340317707,0,0,1097
38LKTG,13,0,411.6631280624333,0,0,1095
j1s,82,0,60.17799305240357,0,0,1090
oldtopos,3,0,492.8754092626498,0,0,1083
BubbleGuppies,293,0,102.81846818500135,0,0,1081
mvviveka,1,0,157.1176451439551,0,0,1080
ayushiso,0,0,103.34273053365067,0,0,1075
ommundu,1,0,170.7398340295805,0,0,1071
Paultergeist,337,0,39.04453765975825,1,0,1067
swathiku,2,0,208.72963358011307,0,0,1066
stevea,4,0,3.579876988342501,0,0,1065
AYUMITSU,236,0,46.64708050964224,0,0,1054
sunilaak,0,0,195.1036795731972,0,0,1039
GoldenStar365,161,0,36.134969485239594,0,0,1036
Butcherbox,383,1,33.49957443238394,1,0,1033
hauntinghost,797,0,8.230968383192355,0,0,1033
kmneh,0,0,170.78425632944084,0,0,1024
hno2,25,0,88.69091487225765,0,0,1021
Aric,994,0,2.877164219591448,0,0,1019
Wheeler Sexton,0,0,221.39800405551637,0,0,1017
tejkante,2,0,192.05371930932483,0,0,1016
Yll Ferizi,66,0,376.9175777846263,0,0,1013
makkera,0,0,125.41317834785153,0,0,1011
mvexel,308,0,140.8487923639576,0,0,1002
Minh Nguyen,159,0,30.027365584508058,0,0,1000
biancah_telenav,2,0,103.61298004116153,0,0,999
abvincen,0,0,148.13656949735085,0,0,999
blakelylaw,1,0,225.42676165612835,0,0,987
Guylamar2006,89,0,76.44543310674705,0,0,976
MapRogers,75,0,11.002875532693064,0,0,976
jonesydesign,0,0,226.37457700822858,0,0,962
MayuzDuarte,168,0,65.64081416124088,3,0,961
dcat,0,0,0.0,0,0,961
nammala,5,0,168.6143333554523,0,0,959
rekulc1,0,0,135.76280643498373,0,0,958
yerrawa,1,0,190.0759110222976,0,0,957
Dxnyel,86,0,40.65249318403987,0,0,955
Russel Taylor,0,0,236.96176865705556,0,0,954
GeoKitten_import,953,0,0.0,0,0,953
517634,164,0,89.13778433772762,0,1,953
Snorlaxin,919,0,0.346943414387386,0,0,952
saksudan,3,0,197.99320560388347,0,0,951
Crashhn,334,0,18.08194134405595,0,0,949
techlady,153,0,408.0197656230785,0,0,946
nimmalab,0,0,122.17718314612901,0,0,940
S-Man42,609,0,11.485923820985231,0,0,939
mgoe,2,0,492.3231650636541,0,0,939
Apoorva Navlay,3,0,94.56544676431527,0,0,935
dhakanth,0,0,235.30650936920898,0,0,934
Paul B Powers,2,0,114.39760745687303,0,0,927
voschix,55,0,213.53023004468105,0,0,922
VTishkoff,239,0,85.74045965642554,0,0,913
javmoh,1,0,167.78767842918415,0,0,911
sahanki,0,0,103.77024282507922,0,0,906
KristinStory,0,0,1165.5713488190825,0,0,904
CornCO,292,0,45.587271772579406,0,0,902
irasesu,63,0,56.76058892323053,0,0,900
cswaroo,0,0,181.68729447502002,0,0,896
ssange,6,0,203.15823217545133,0,0,895
R4ND0M,91,0,41.043751523992704,0,0,895
Cody_Nolen,886,0,0.30793473189152903,0,0,889
Iqhra,1,0,99.92773805781482,0,0,886
Ph0enix7,4,0,80.03450987449907,0,0,884
raknm,6,0,138.48386665403052,0,0,882
@kevin_bullock,295,0,2.459541634045018,0,0,880
pillalp,1,0,172.17910598813052,0,0,879
Luis36995_labuildings,0,0,80.23118926724106,0,0,878
RoverLand,36,0,83.75840880912398,0,0,876
sartsuri,0,0,185.26788831910528,0,0,874
hemasvn,0,0,99.5840419906592,0,0,871
anuds,2,0,130.98431646192242,0,0,867
adamos,3,0,278.2574040355015,0,0,866
Someone1997,823,0,0.045312877631785,0,0,861
DashOfBacon,784,0,4.260621635109404,0,1,858
RobCrossTexas,0,0,471.6699301025245,0,0,850
vkanduku,0,0,194.33442229886882,0,0,848
rkdarst,98,0,40.16733479830903,0,0,847
OklaNHD,0,0,0.0,0,0,846
vissushm,0,0,156.71521717425605,0,0,843
Beren Seiler,804,0,0.091607137735771,0,0,842
FrozenFlame22,31,0,75.98279800163427,0,0,841
ma-rt-in,76,0,28.45641321598434,0,0,839
rraymond,125,0,55.26593391163589,0,0,839
nikhilprabhakar,276,0,95.71626610423031,0,0,837
vaidhev,1,0,274.0814063899896,0,0,837
Mar Mar,374,0,169.58226326675103,0,0,833
rza31,270,0,156.90848572294422,0,0,830
tomero,5,0,37.87301655965441,0,0,829
sunilvs,0,0,80.01258751864428,0,0,827
dwh1985,61,0,34.06399834292283,0,0,825
pandypr,3,0,180.25237036460385,0,0,819
uboot,8,0,95.60399952687374,0,0,816
Trex2001,67,0,23.183190978500406,0,0,816
sabaamzn,0,0,197.58528823467304,0,0,816
allampley,745,0,1.660091784103644,0,0,814
AsYouAre,103,0,23.58499051480694,0,0,808
wvdp,185,0,126.93812136728212,0,0,805
Adriene Russell,624,0,23.065795648682208,0,0,803
amitbish,0,0,132.50052449445462,0,0,799
jacorohi,2,0,144.10829622934756,0,0,798
Swaroop Dvsk,0,0,61.72581983028318,0,0,793
AutomaticX,462,0,25.184601260095775,1,0,791
JavaCoyote,657,0,6.151596526006437,0,0,789
ashleyannmathew,7,0,300.62964093736946,0,0,787
velurib,1,0,79.33199731502951,0,0,787
khnzmnz,5,0,131.36260320584176,0,0,784
RitaEnami,780,0,0.0,0,0,783
HokiePilot,0,0,254.65300479891903,0,0,783
ATeam42,439,0,162.58836283061365,0,0,783
NathanR18,601,0,11.152276453803962,0,0,779
HJD,128,0,49.102850533713806,0,0,774
jyotkuma,0,0,138.59088938926917,0,0,773
TurtleArtillery,227,0,20.564183423792603,2,0,769
FF808,90,0,10.619655603432392,0,0,767
wtim,666,0,0.33129539094692,0,0,766
Huaj,504,0,7.999303189875336,0,0,765
Blayne10,763,0,0.0,0,0,764
shreeush,8,0,128.71788724777446,0,0,762
Constable,79,0,131.44960843769732,0,0,759
El Holler,752,0,0.0,0,0,757
stadiaarcadia,644,0,4.321137625931551,0,0,754
spjaquish,2,0,118.80298617510509,0,0,751
fire1tex,11,0,312.42994507145517,0,0,748
rzsi,3,0,147.8577914383553,0,0,746
avssr,1,0,183.40578128432773,0,0,745
Rudloff,491,0,26.40220432124217,0,0,740
jodynickel,1,0,733.1570339698173,0,0,737
Jothirnadh,3,0,124.27917664727744,0,0,733
scharith,9,0,130.43474788231285,0,0,732
utkap,0,0,150.30964644660267,0,0,730
himansne,0,0,177.49854595287442,0,0,729
upendrakarukonda,1,0,189.30277704382667,0,0,728
nicolas17,671,0,2.557190846591511,0,0,725
Zachy_P,10,0,38.74874684663006,0,0,725
xybot,9,0,108.36923801004231,0,0,724
Brad Meteor,17,0,348.13802883903116,0,0,724
JerryKnight,87,0,74.94873010493595,0,0,723
Kenny Harvey,261,0,68.63568131433033,0,0,720
inah_telenav,1,0,152.42767892757968,0,0,719
manikyal,0,0,100.52506537408674,0,0,717
lacram_telenav,0,0,61.80292619765466,0,0,716
jangahari,0,0,129.50285706979935,0,0,715
sainiyam,1,0,151.20677022328948,0,0,712
TechSanity,628,0,0.957329807969834,0,0,708
Theodin,224,0,305.4711636584434,0,0,704
sergiozamora,3,0,171.45890834404855,0,0,703
DChrist,139,0,85.14953804945961,0,0,702
arrested4cartography,416,3,8.947528372006378,1,0,700
oormilavinod,0,0,177.9464201450422,0,0,699
Stevestr,662,0,0.23247594798946902,0,0,696
AMY-jin,0,0,474.90794714082216,0,0,696
California Bear,15,0,115.2797111638157,0,0,695
archana kar,0,0,82.82296083028169,0,0,695
deanabil,0,0,81.15422678506614,0,0,693
kseltar,671,0,1.691152109421961,0,0,689
nbhiss,1,0,177.31051184990582,0,0,685
manitec,0,0,152.8848529166585,0,0,683
ScottWerkema,62,0,20.21523914154721,1,0,683
WernerP,172,0,69.04916648291393,0,0,679
reeseray789,340,0,22.82587643231543,1,1,678
vvvuppal,0,0,116.82626305743977,0,0,676
SeanTaplinGarlandTx,0,0,86.41779998545414,0,0,675
pattamatta,2,0,75.0922824526615,0,0,674
pdantojh,6,0,128.44072078870084,0,0,672
ITennis12,82,0,19.306569414811094,0,0,668
Brian Reavis,5,0,715.4663141081478,0,0,667
mansipan,1,0,154.00885768805597,0,0,663
GidonW,0,0,16.432125809733137,0,0,662
craftsbury,659,0,0.10792664894157,0,0,661
Derick Rethans,75,0,19.120178323237297,0,0,659
TXST-cr20,64,0,17.2944634727313,0,0,656
jbk123,57,0,44.468108647101424,0,0,653
Austin Arnett,423,1,11.779929042873452,1,1,652
Chris112233,86,0,36.40060114048035,0,0,652
medicdye,638,0,0.0,0,0,650
StellanL,6,0,124.54372468593155,0,0,649
xmapperdude,0,0,830.456576777837,0,0,642
snghcvv,0,0,155.15185086491198,0,0,639
cartografo89,565,0,4.15645497543701,1,0,639
